;artists;name;acousticness;danceability;energy;instrumentalness;liveness;loudness;mode;speechiness;tempo;valence;track_href
0;Led Zeppelin;Good Times Bad Times;0.0803;0.457;0.718;2.13e-06;0.0513;-9.994;1;0.0881;93.395;0.686;https://api.spotify.com/v1/tracks/3tcaltthSz9s6awB6koVRo
1;Led Zeppelin;Communication Breakdown;0.161;0.384;0.95;7.15e-06;0.61;-7.264;1;0.149;175.055;0.454;https://api.spotify.com/v1/tracks/6GXlXAfXR7C6u1VjR3VMsm
2;Led Zeppelin;Dazed And Confused;0.0919;0.262;0.539;0.00803;0.0889;-10.264;1;0.0451;87.197;0.436;https://api.spotify.com/v1/tracks/1RIsAtnYOlo8zGMycNFioq
3;Led Zeppelin;Babe I'm Gonna Leave You;0.365;0.408;0.465;6.01e-05;0.215;-11.772;0;0.0338;135.668;0.151;https://api.spotify.com/v1/tracks/0ducHx1R45CnEloZ6tUVuC
4;Led Zeppelin;Whole Lotta Love;0.0627;0.444;0.892;0.0354;0.417;-11.367;1;0.424;88.063;0.394;https://api.spotify.com/v1/tracks/1uBMgVAUYLnzVL5uQT88FP
5;Led Zeppelin;Ramble On;0.179;0.451;0.555;0.00327;0.077;-13.15;1;0.0344;98.683;0.834;https://api.spotify.com/v1/tracks/3Qjm0halGOZZGIS1tNaXlI
6;Led Zeppelin;Heartbreaker;0.0701;0.397;0.723;0.0703;0.142;-9.197;1;0.0884;96.894;0.543;https://api.spotify.com/v1/tracks/3I7a9joX0lJnK9XzE38GnD
7;Led Zeppelin;Immigrant Song;0.0119;0.567;0.931;0.159;0.342;-10.361;1;0.0544;112.948;0.623;https://api.spotify.com/v1/tracks/2uuMXKKmdXrY2XxsqTsGp0
8;Led Zeppelin;Since I've Been Loving You;0.00216;0.388;0.356;0.0762;0.139;-11.187;0;0.0348;118.199;0.338;https://api.spotify.com/v1/tracks/3Wunwn44wcWRNB4zb03AvA
9;Led Zeppelin;Rock And Roll;0.00091;0.317;0.879;0.00142;0.0972;-7.533;1;0.0406;169.534;0.849;https://api.spotify.com/v1/tracks/7HQrFPtLEpgTJaEVujH8OO
10;Led Zeppelin;Black Dog;0.4;0.407;0.866;0.0409;0.27;-8.048;0;0.0996;80.813;0.723;https://api.spotify.com/v1/tracks/3nsUVlntPIksDvhHdZZhiu
11;Led Zeppelin;When The Levee Breaks;0.0021;0.266;0.759;0.579;0.0561;-8.224;1;0.0328;143.929;0.813;https://api.spotify.com/v1/tracks/3BGwxsmbbOe2jmZfh5CUAO
12;Led Zeppelin;Stairway To Heaven;0.609;0.338;0.332;0.00432;0.142;-12.254;0;0.0352;81.957;0.204;https://api.spotify.com/v1/tracks/12wlYeErSUNGg1B5d64077
13;Led Zeppelin;The Song Remains The Same;0.0657;0.256;0.8;0.657;0.244;-8.394;1;0.0539;143.638;0.684;https://api.spotify.com/v1/tracks/6gQOsok1o9YY6vU1W5ZzWX
14;Led Zeppelin;Over The Hills And Far Away;0.0729;0.415;0.688;0.0495;0.0832;-10.504;1;0.0636;96.968;0.23;https://api.spotify.com/v1/tracks/35XlkvHy9WHPI4Tf9eax4t
15;Led Zeppelin;D'yer Mak'er;0.25;0.526;0.918;4.54e-05;0.0778;-8.789;0;0.0771;164.453;0.578;https://api.spotify.com/v1/tracks/5iNr7y6iWNkwVvVeOXSLT5
16;Led Zeppelin;No Quarter;0.724;0.336;0.339;0.608;0.126;-14.237;1;0.0397;139.869;0.0768;https://api.spotify.com/v1/tracks/55ZL7fjGAWfClmpnsK6Xon
17;Led Zeppelin;Trampled Under Foot;0.238;0.568;0.837;0.328;0.0754;-7.744;0;0.059;111.186;0.833;https://api.spotify.com/v1/tracks/6mkBbzyfK0EpywDk17taBg
18;Led Zeppelin;Houses Of The Holy;0.15;0.631;0.85;0.0627;0.562;-8.52;1;0.0347;123.086;0.944;https://api.spotify.com/v1/tracks/5kxqPQ5Gasw1jXyBDCPDkN
19;Led Zeppelin;Kashmir;0.448;0.484;0.609;0.0007;0.0415;-8.81;1;0.0483;80.483;0.61;https://api.spotify.com/v1/tracks/5v2vkoTamoisazJFanHJjk
20;Led Zeppelin;Nobody's Fault But Mine;0.0571;0.278;0.767;0.167;0.221;-9.454;1;0.0736;93.236;0.439;https://api.spotify.com/v1/tracks/4KF1kzyeyPrgafyVm2UgQg
21;Led Zeppelin;Achilles Last Stand;0.0211;0.329;0.867;0.00856;0.134;-8.789;1;0.0506;145.81;0.315;https://api.spotify.com/v1/tracks/4wCMKxkE3eMOTtlAx0NFEM
22;Led Zeppelin;In The Evening;0.0138;0.432;0.786;0.102;0.144;-8.23;1;0.0451;104.062;0.437;https://api.spotify.com/v1/tracks/7uBnSdqm07uMBrp7nBmMu9
23;Led Zeppelin;All My Love;0.123;0.552;0.791;1.42e-05;0.162;-8.356;1;0.0303;91.2;0.698;https://api.spotify.com/v1/tracks/5UdShl12E6eHEgS8lQ1bPr
24;Greta Van Fleet;Safari Song;0.176;0.373;0.931;9.12e-06;0.319;-4.043;1;0.0506;175.92;0.74;https://api.spotify.com/v1/tracks/1BfR5GMOgW0peHkPxrwf11
25;Greta Van Fleet;Edge Of Darkness;0.00717;0.452;0.944;0.161;0.0766;-3.785;1;0.0587;148.07;0.673;https://api.spotify.com/v1/tracks/4rhUBIlzi7zgV7TryhVujl
26;Greta Van Fleet;Flower Power;0.349;0.198;0.703;0.0382;0.151;-5.484;1;0.0361;76.899;0.219;https://api.spotify.com/v1/tracks/4SE1kjgRulcwjNcc7oFFg4
27;Greta Van Fleet;A Change Is Gonna Come;0.026;0.365;0.684;0.000329;0.144;-4.769;0;0.0397;129.637;0.548;https://api.spotify.com/v1/tracks/12YYFvwwuYiw010ONgfYlW
28;Greta Van Fleet;Highway Tune;0.0107;0.579;0.957;0.158;0.263;-2.94;1;0.0521;123.993;0.515;https://api.spotify.com/v1/tracks/7aOor99o8NNLZYElOXlBG1
29;Greta Van Fleet;Meet On The Ledge;0.303;0.503;0.78;2.44e-05;0.152;-4.751;1;0.0401;145.127;0.382;https://api.spotify.com/v1/tracks/6CDYbIZs6DjyhDm7lUbpc1
30;Greta Van Fleet;Talk On The Street;0.232;0.527;0.939;0.000411;0.104;-3.518;0;0.0578;134.01;0.57;https://api.spotify.com/v1/tracks/2H9sGMEd19c2XzUyigadgS
31;Greta Van Fleet;Black Smoke Rising;0.187;0.372;0.911;0.000199;0.0883;-3.949;1;0.0694;200.012;0.536;https://api.spotify.com/v1/tracks/32BEasyNQgqXQJKoVa0fUw
